ID,Class,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80
2694,pigeon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,1,1,3,2,3,3,2,1,4,3,3,2,3,5,0,1,1,5,6,4,4,3,3,6,4,6,0,1,1,2,1,2,4,1,0,1,0,5,2,1,0,0,4,2,4,3,0,3,0,0,0
2695,starfish,1,2,3,2,3,0,1,4,1,2,6,1,4,2,3,0,0,0,0,0,1,0,3,3,5,3,1,3,6,7,5,1,3,5,7,1,3,4,4,5,1,1,5,2,4,3,3,5,5,6,3,2,6,6,6,0,4,3,2,3,3,1,6,0,6,2,3,1,3,2,1,0,3,4,5,3,1,4,6,3
2696,kangaroo,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,1,1,3,1,0,0,0,0,0,1,0,3,1,1,3,3,5,4,4,5,0,1,4,1,0,0,0,0,0,2,1,5,2,4,5,1,6,4,3,2,0,3,0,1,0,2,4,1,2,1,2,5,1,1,1,5,3,3,2,0,1,1,1,2
2697,watch,0,1,0,0,0,0,2,0,0,0,0,3,2,2,2,0,2,0,0,0,0,0,0,0,0,2,2,5,1,4,4,3,6,5,6,2,2,2,4,1,0,0,0,0,0,4,2,3,5,5,2,3,3,6,7,4,3,3,3,2,0,1,0,0,0,0,2,0,1,0,0,3,1,0,2,0,2,0,0,0
2698,Faces,6,1,6,3,5,1,6,6,6,3,2,4,2,7,5,5,3,3,5,5,7,0,7,3,2,4,2,7,6,1,5,3,1,7,3,5,2,3,6,5,6,1,3,6,4,5,2,7,3,3,6,1,3,7,3,5,1,5,5,5,4,2,7,6,3,3,2,4,7,4,3,4,6,5,2,3,2,4,7,5
2699,stapler,2,0,5,7,6,4,2,2,5,6,1,2,0,4,7,0,2,3,4,6,5,2,3,5,5,1,4,3,1,3,0,3,4,3,3,1,2,2,5,6,3,0,2,5,5,2,3,5,4,6,0,4,5,2,6,1,3,4,4,7,1,0,2,3,5,2,2,4,4,6,2,1,4,3,7,0,1,2,5,7
2700,Leopards,3,4,4,3,3,0,3,3,6,5,0,5,3,4,5,2,4,2,3,5,3,0,3,4,6,1,2,6,3,7,2,2,4,6,7,4,2,5,4,6,4,3,6,4,5,1,2,5,6,7,3,1,3,4,7,3,3,4,6,7,3,6,4,3,5,2,4,6,4,5,1,5,5,6,5,2,5,4,2,6
2701,Motorbikes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,5,2,4,2,1,5,3,5,5,0,0,1,2,1,2,0,1,0,2,1,5,4,3,7,5,2,5,5,5,2,1,1,3,3,0,0,0,3,0,0,3,2,1,1,0,2,1,1,1,0,1,2,0,0
2702,kangaroo,2,2,7,5,7,2,4,5,4,6,1,2,4,6,7,2,2,4,6,7,2,3,5,5,6,2,4,5,6,5,4,2,2,7,6,3,1,5,5,7,2,3,7,6,5,5,2,5,4,6,3,3,2,5,7,4,3,4,6,6,2,3,6,5,6,3,4,4,4,6,1,4,5,6,7,1,4,5,6,7
2703,dolphin,1,3,5,3,3,3,3,7,1,3,1,4,6,4,6,2,4,4,4,6,1,6,6,4,3,1,3,7,1,3,1,6,7,3,2,2,4,5,7,6,2,3,7,5,3,1,3,7,2,4,3,3,5,4,5,4,2,5,4,7,1,4,7,4,4,0,4,4,6,3,3,4,4,4,6,1,4,4,5,7
2704,revolver,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,4,4,6,3,6,5,5,2,2,7,2,1,2,3,1,3,2,3,3,3,4,4,6,2,4,2,1,4,0,0,0,0,0,4,1,2,2,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
2705,stop_sign,0,0,5,0,2,0,2,1,0,1,0,2,0,1,1,0,0,0,5,3,3,0,2,2,2,3,1,0,0,0,2,0,1,1,1,3,1,0,3,2,3,1,1,3,2,4,0,1,0,0,3,0,1,0,1,3,0,2,0,1,0,0,0,5,3,0,3,0,1,2,1,3,1,0,2,0,0,5,0,3
2706,Faces,1,7,1,0,1,1,6,3,1,1,2,4,4,7,5,1,4,1,3,1,5,2,3,6,4,6,1,3,5,3,4,3,6,7,3,5,3,5,5,3,3,3,6,2,5,4,4,2,3,5,6,3,2,5,2,6,0,4,2,1,0,5,1,2,1,0,4,1,2,4,4,2,6,6,3,4,4,2,5,2
2707,airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,2,0,7,0,1,2,0,7,2,1,2,1,5,1,0,2,1,5,1,2,1,0,7,1,0,2,0,6,1,2,3,1,7,2,1,1
2708,Motorbikes,5,2,1,3,1,1,4,2,2,3,2,3,4,2,3,3,2,0,1,2,5,1,3,3,3,1,3,2,2,3,2,4,4,5,6,4,2,3,3,2,3,2,4,3,3,3,5,4,5,5,3,3,4,6,6,4,2,1,5,4,2,3,3,5,3,0,7,1,2,2,1,7,4,1,3,2,4,1,2,3
2709,barrel,2,0,6,1,4,3,3,3,6,4,0,3,0,5,2,0,1,0,2,4,5,1,2,5,4,2,2,0,3,3,0,1,2,0,2,6,0,4,3,3,6,1,4,6,3,3,4,2,4,3,3,5,3,5,2,3,1,5,2,5,1,0,0,6,3,3,2,0,6,4,3,3,5,3,4,2,0,4,2,5
2710,airplanes,2,5,3,5,3,2,3,5,3,3,3,3,5,4,5,1,4,4,5,4,2,4,3,4,2,0,7,2,4,2,0,7,3,2,2,0,7,2,4,1,0,5,2,1,2,1,6,1,3,3,0,7,3,2,2,1,6,2,4,2,0,7,1,1,0,0,7,0,0,0,0,7,1,0,0,0,7,0,0,1
2711,Faces,4,1,3,1,0,2,5,5,4,2,6,1,4,3,3,1,3,1,3,2,3,2,4,6,3,5,3,4,5,3,7,0,3,3,2,2,6,2,0,2,5,3,2,4,4,6,2,6,6,3,6,0,4,4,3,4,4,3,2,3,0,3,4,1,4,5,2,4,6,4,6,1,0,3,2,2,5,4,3,2
2712,dragonfly,0,0,0,0,0,4,1,2,2,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,2,3,4,6,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,4,2,4,5,6,2,2,1,1,2,0,1,1,0,0,1,0,0,0,0,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0
2713,stegosaurus,0,0,1,0,0,1,2,5,1,2,0,1,0,1,1,0,0,0,0,0,3,0,4,1,1,3,2,7,5,6,2,3,4,7,5,0,1,0,0,0,1,2,6,4,2,2,3,5,4,6,1,1,1,3,1,0,2,1,4,2,0,0,1,0,1,1,0,2,1,2,0,0,1,1,2,0,0,0,0,0
2714,grand_piano,0,0,0,0,0,0,0,0,0,2,1,2,5,2,5,1,2,5,2,4,1,3,2,2,2,3,5,5,2,3,2,6,4,2,2,5,3,2,2,3,5,2,0,5,2,5,3,0,3,5,1,2,1,0,1,6,1,2,2,1,0,0,0,4,0,4,1,0,6,2,6,0,2,0,0,1,0,2,0,0
2715,Faces,2,4,5,5,3,3,4,7,4,4,1,3,2,6,3,2,4,0,2,0,6,3,4,4,4,4,5,7,2,1,5,3,2,7,2,2,0,1,0,1,5,5,2,2,3,4,4,4,7,3,4,3,7,4,2,6,0,1,1,2,2,5,5,5,3,4,1,5,6,3,2,2,7,4,2,3,3,4,3,3
2716,Motorbikes,2,1,2,0,1,5,2,2,0,2,4,2,4,2,2,1,1,1,2,2,3,2,4,1,2,3,5,5,5,4,2,3,7,4,6,4,3,1,4,2,3,1,2,2,3,1,6,6,5,5,4,5,4,2,6,4,2,1,4,3,1,3,0,0,1,0,6,1,0,1,0,6,2,0,1,1,4,0,1,1
2717,accordion,0,1,7,1,5,2,2,7,4,6,1,1,2,4,6,0,0,0,0,1,2,0,6,6,7,2,1,2,7,6,1,1,7,6,7,0,1,5,6,7,0,0,5,6,5,1,1,5,6,7,1,2,2,6,7,2,1,6,5,7,0,0,0,0,2,0,0,1,5,5,0,1,7,3,7,1,0,7,2,6
2718,dalmatian,2,0,0,0,0,1,0,0,0,0,5,2,2,6,1,2,0,1,0,0,1,2,2,3,0,3,0,3,1,2,2,2,4,2,5,2,0,0,4,2,2,1,1,4,1,2,0,2,3,1,4,2,6,5,5,2,3,4,3,2,3,1,2,6,2,0,0,1,0,0,4,2,5,7,5,3,3,6,6,3
2719,barrel,2,0,0,2,1,0,3,5,3,3,1,3,4,5,6,1,3,5,6,6,1,3,6,5,3,2,5,4,6,4,3,3,6,6,5,1,5,5,5,6,2,6,6,6,4,4,5,5,4,4,5,3,7,5,4,2,5,6,1,5,2,4,4,4,4,1,6,4,5,4,3,5,5,5,4,4,4,7,2,3
2720,ferry,0,1,1,0,2,0,2,2,0,2,0,1,2,1,2,1,1,0,0,1,1,3,3,2,3,1,2,2,2,4,1,2,5,4,4,3,2,1,3,4,3,4,6,2,4,1,6,4,5,4,2,6,4,4,3,4,2,2,4,3,1,6,4,5,2,0,7,3,5,3,2,5,5,4,3,2,1,1,1,2
2721,Faces,5,0,1,0,1,2,2,4,3,5,1,2,2,4,4,2,0,1,2,1,5,0,5,3,3,3,3,5,4,3,3,3,4,6,4,3,1,3,6,4,5,0,1,2,1,5,2,6,5,3,5,2,6,5,4,1,0,2,1,1,5,1,4,2,3,4,4,3,6,3,5,1,7,3,3,0,1,0,3,2
2722,saxophone,0,2,1,1,6,0,3,4,4,5,1,3,1,4,3,0,0,0,3,5,0,4,0,4,3,0,5,2,3,3,3,1,4,4,4,1,1,2,3,5,0,1,0,3,3,0,2,1,4,1,5,2,4,4,5,4,0,6,3,6,1,1,2,7,6,0,4,1,4,3,4,2,6,6,5,3,1,6,4,3
2723,lamp,3,4,7,0,3,3,3,6,1,5,4,0,4,4,4,3,2,6,5,5,5,1,2,4,4,3,2,4,1,7,3,1,0,4,2,3,2,2,4,5,5,3,4,4,3,3,3,1,2,7,3,1,1,2,2,6,0,1,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,1,1
2724,pizza,1,2,4,1,4,1,4,1,2,3,0,5,1,0,1,0,2,0,6,2,3,4,5,4,4,0,5,2,6,5,1,3,2,5,2,6,1,2,4,2,3,1,0,6,3,1,2,4,2,2,1,3,2,1,2,0,0,7,1,3,0,0,0,6,2,0,6,1,3,2,0,6,4,1,2,0,0,5,0,1
2725,airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,3,2,5,5,1,5,1,2,2,0,3,0,1,2,2,1,1,2,1,0,6,5,3,4,0,4,4,5,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2726,ibis,3,3,6,6,5,4,2,5,7,5,5,3,6,7,3,2,4,5,5,4,4,4,6,6,4,4,4,5,4,5,1,4,3,7,6,3,3,6,7,4,3,3,6,6,5,3,4,6,6,5,1,3,3,5,5,1,4,7,6,5,2,2,6,5,7,2,2,6,5,7,2,5,6,5,6,1,3,7,4,7
2727,ferry,1,3,2,4,3,1,3,4,4,4,1,4,6,3,2,3,4,5,5,4,4,3,5,6,4,4,5,5,6,3,4,5,5,5,3,2,4,4,6,6,2,6,5,3,3,1,7,2,2,2,1,7,3,0,4,3,5,6,2,2,3,2,3,4,3,0,2,2,3,1,0,2,2,0,3,1,2,4,4,4
2728,helicopter,0,0,0,0,0,1,1,0,2,1,0,3,0,0,0,0,1,0,0,0,1,6,4,4,4,3,6,5,4,4,1,6,3,3,4,1,5,4,4,3,3,6,2,2,3,5,4,5,6,3,2,5,3,4,4,0,6,0,1,2,0,6,5,2,5,3,6,3,4,5,1,6,3,2,3,0,6,1,1,3
2729,barrel,3,1,5,2,4,0,5,5,3,6,0,5,2,2,4,4,2,1,6,6,5,1,4,6,4,5,4,2,4,5,3,5,2,1,4,4,2,5,0,7,6,0,4,3,4,4,1,6,6,5,3,2,5,3,5,5,0,5,3,6,5,2,2,5,4,3,3,3,6,5,5,1,6,2,6,2,0,4,1,6
2730,Faces,2,1,1,0,1,3,3,5,3,2,1,5,5,5,4,1,2,2,2,1,3,2,0,0,2,4,4,5,1,4,4,5,3,3,2,5,1,0,1,2,1,0,0,1,1,3,2,3,3,1,5,4,4,5,3,2,1,2,1,1,1,1,1,1,0,0,3,2,3,2,1,4,6,5,4,0,3,0,4,2
2731,airplanes,3,6,3,2,3,1,4,3,5,5,1,6,3,6,4,1,6,5,4,4,2,6,0,3,3,0,6,3,3,3,1,7,2,1,1,0,5,3,4,3,2,7,0,1,2,0,7,1,5,1,0,7,3,2,1,0,7,1,3,1,2,5,2,3,2,1,6,3,4,3,1,5,3,5,3,1,6,2,2,4
2732,airplanes,0,6,5,6,4,1,6,3,4,4,1,5,3,7,5,2,4,3,4,3,2,1,1,3,2,1,4,4,6,3,1,5,3,4,3,3,4,0,4,2,2,2,2,6,3,0,6,3,3,6,2,5,5,3,4,2,1,4,6,2,3,4,3,7,4,2,5,5,7,1,2,4,4,2,1,2,2,2,5,1
2733,airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,1,2,0,3,0,3,0,0,0,0,0,0,0,0,1,1,0,3,1,1,7,1,2,4,1,7,3,3,1,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2734,Faces,2,5,6,4,4,1,6,2,6,4,5,5,4,4,2,3,2,0,1,1,4,2,5,3,4,5,1,4,3,4,7,1,2,2,2,3,1,1,0,0,5,1,2,6,5,5,2,3,2,3,6,2,3,3,3,6,1,2,2,1,3,2,6,4,6,4,2,6,1,3,2,1,4,5,4,4,2,2,5,4
2735,anchor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,3,3,1,1,0,2,2,0,0,2,4,3,0,2,0,3,2,0,1,2,0,5,0,1,0,2,5,0,2,3,0,1,2,1,0,0,0,0,0,0,0,2,1,0
2736,nautilus,1,0,1,0,1,1,2,0,7,2,0,3,0,6,4,0,0,0,2,3,0,1,2,0,5,4,1,4,2,3,1,2,2,2,1,2,0,1,5,3,3,3,6,3,6,3,3,4,7,6,3,1,3,7,3,4,1,3,4,3,4,2,5,6,6,3,3,5,4,6,2,4,6,6,3,1,3,5,3,6
2737,ketch,0,1,1,5,1,0,3,0,1,0,1,1,1,1,1,0,2,0,1,0,1,4,2,5,1,1,4,5,3,2,6,0,1,5,2,2,2,4,5,2,2,5,5,5,3,5,3,3,1,3,6,1,1,7,1,3,3,4,6,3,1,5,5,5,3,1,7,3,1,3,0,7,5,5,4,1,3,2,3,5
2738,elephant,5,3,5,3,3,5,4,4,5,2,6,3,4,5,4,6,1,5,5,4,6,1,4,5,2,5,2,5,6,4,6,2,6,3,4,6,1,4,7,2,6,3,4,6,2,5,3,4,6,3,6,1,4,6,3,6,3,4,6,3,1,5,5,6,2,1,6,4,6,2,2,6,6,4,2,2,5,4,6,5
2739,starfish,0,0,0,0,0,1,0,1,0,0,3,1,2,3,4,0,0,0,0,0,0,1,1,3,3,1,5,2,5,3,5,0,5,5,7,0,4,3,4,2,0,0,0,0,1,2,1,4,5,7,1,5,3,7,6,1,1,5,2,2,1,0,1,0,1,0,3,5,0,3,0,1,1,5,3,2,0,3,3,2
2740,grand_piano,0,0,0,0,0,0,0,4,0,1,2,4,6,2,5,1,1,4,1,2,0,1,1,2,3,1,5,5,2,6,2,5,4,3,5,3,3,4,2,3,3,2,0,6,3,1,4,4,7,5,1,3,2,4,5,3,1,2,0,2,0,0,2,1,0,6,0,2,1,3,0,0,0,0,0,0,0,0,0,0
2741,BACKGROUND_Google,5,2,2,4,2,3,3,4,2,5,4,3,1,3,4,4,2,4,2,2,4,1,3,6,2,4,3,4,4,5,5,1,3,7,6,5,1,7,1,3,3,2,1,6,2,2,2,3,3,4,4,2,1,4,5,5,4,5,0,1,3,6,1,6,3,2,5,2,4,6,2,3,2,6,6,4,4,3,6,4
2742,lamp,1,0,0,0,2,3,4,3,6,3,1,5,5,3,4,1,0,0,1,1,2,1,1,1,4,3,4,4,6,3,4,3,5,5,4,2,1,1,3,3,1,2,1,3,4,2,4,4,4,5,1,4,2,5,6,1,2,4,3,4,0,1,1,2,1,3,2,2,3,4,4,3,3,3,3,0,1,1,0,2
2743,crayfish,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,1,1,1,2,1,1,3,1,0,3,2,1,3,0,4,4,4,4,0,1,1,4,3,2,1,4,1,0,1,3,1,4,1,0,4,3,2,4,0,3,1,4,4,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,2,0,1,1
2744,mandolin,1,4,6,7,5,1,3,5,6,6,2,3,5,5,7,3,2,5,5,7,4,5,4,5,5,2,3,5,6,6,3,4,5,3,6,3,4,2,7,5,2,5,5,6,5,2,6,3,7,4,2,4,7,5,3,4,2,7,3,4,1,6,5,2,4,1,6,5,2,5,3,2,4,4,6,2,4,3,6,6
2745,Faces,6,2,4,3,1,2,4,5,5,6,2,3,4,6,6,5,2,1,5,2,6,1,4,5,2,4,2,5,4,3,4,3,2,5,3,2,2,3,4,3,5,2,3,1,2,5,2,4,5,2,5,2,4,4,2,1,0,5,1,0,4,1,3,2,3,5,2,1,6,3,5,2,7,1,3,1,3,1,2,2
2746,elephant,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,2,2,0,6,7,1,3,7,6,3,3,4,3,5,4,2,4,2,7,5,1,1,0,7,4,1,4,5,6,5,5,1,5,3,5,5,1,3,5,5,3,0,3,2,3,4,3,6,4,6,4,2,4,5,7,6,2,5,4,5,4,2,6,4,6
2747,BACKGROUND_Google,1,3,0,1,0,3,7,1,1,2,1,6,3,6,1,2,4,1,1,1,1,2,3,1,4,1,4,4,5,3,1,1,4,1,4,1,3,3,5,3,4,1,4,6,5,2,2,5,7,6,5,1,4,5,6,5,3,4,5,5,2,1,4,5,5,2,3,4,4,5,1,1,3,3,4,1,3,4,5,4
2748,Motorbikes,0,2,1,1,0,0,5,1,2,0,0,3,2,1,1,1,2,0,0,0,2,1,2,2,2,1,5,5,6,3,3,5,5,6,5,0,4,0,2,1,4,1,1,3,2,2,5,4,4,6,5,1,5,5,5,1,1,2,3,4,1,3,1,2,0,0,6,1,1,1,0,6,0,2,1,0,3,3,0,1
2749,Faces,6,1,0,0,0,1,3,6,2,4,1,4,4,7,3,0,2,0,1,0,6,0,0,0,0,6,2,5,4,4,6,1,6,5,3,2,0,0,1,2,5,0,0,0,1,6,2,4,6,3,5,2,6,4,4,5,0,0,0,0,4,1,1,0,0,3,4,3,6,3,4,4,5,5,2,0,1,0,0,1
2750,Motorbikes,2,1,1,1,1,0,2,3,4,2,2,3,1,3,1,1,1,0,1,1,4,4,0,1,2,2,5,5,4,5,1,6,4,6,3,2,3,2,3,2,2,2,1,4,1,2,5,6,4,5,2,4,5,7,5,2,3,0,2,2,1,2,0,0,1,0,5,2,2,2,0,5,1,3,3,1,3,1,0,2
2751,pyramid,4,0,0,0,0,0,2,0,0,1,1,3,3,2,3,3,2,2,0,0,5,0,0,0,0,0,1,4,2,3,2,1,3,2,4,3,0,0,3,0,5,0,0,0,0,2,4,4,7,5,1,4,5,6,3,4,2,1,4,3,4,2,0,0,0,2,6,4,4,1,1,6,0,3,4,4,6,1,5,3
2752,menorah,4,0,0,2,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,7,0,2,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,7,4,4,2,7,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,4,2,3,0,3,3,0,1,0,0,1,0,0
2753,mayfly,0,3,4,0,0,0,6,5,1,2,0,6,1,2,1,0,5,0,5,0,0,4,3,1,2,1,5,3,4,2,1,5,4,5,5,0,6,2,4,0,1,6,1,6,3,2,6,4,4,3,3,5,4,6,4,2,4,5,7,4,2,1,2,7,2,0,6,0,7,2,0,7,2,6,2,1,7,2,6,2
2754,umbrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,1,4,0,3,2,3,4,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2755,BACKGROUND_Google,3,2,2,1,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,6,2,2,1,1,3,2,2,1,1,3,1,1,2,0,3,1,0,2,1,4,4,3,2,4,3,1,2,6,1,4,3,3,4,3,4,2,3,2,3,0,1,2,1,0,1,0,1,1,1,0,0,0,2,2,3,0,0,2,0
2756,lamp,0,0,0,2,0,3,1,3,0,2,4,1,1,2,4,1,0,0,2,0,3,0,1,6,2,6,2,2,1,3,6,1,1,0,2,1,1,1,3,3,3,0,0,7,1,2,0,2,5,1,6,0,2,3,1,0,0,0,0,0,0,3,3,7,1,1,6,4,3,2,2,2,4,5,3,1,2,4,2,0
2757,umbrella,2,2,4,5,7,1,3,5,5,7,1,4,2,4,6,1,2,3,5,7,1,1,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,3,3,1,1,1,2,3,1,1,3,2,3,1,3,5,3,5,2,2,4,6,7,1,3,6,3,7,3,3,4,4,7,2,2,5,5,6
2758,cup,0,1,5,4,6,0,5,4,2,3,0,5,2,1,4,1,2,5,7,6,3,2,5,1,6,1,2,4,6,3,2,2,5,5,3,5,1,5,5,6,4,4,5,3,5,3,1,2,4,3,2,0,4,5,4,3,3,7,1,6,3,2,5,7,3,2,4,5,7,4,5,4,5,4,3,2,5,3,6,6
2759,buddha,4,2,4,4,5,2,3,6,5,7,5,3,5,5,5,2,3,6,5,5,3,2,5,6,6,4,2,5,6,5,4,3,5,5,6,2,2,4,6,6,3,2,6,6,6,6,3,3,6,5,4,2,6,6,5,2,4,6,6,5,2,4,5,5,5,1,5,4,6,4,1,7,5,4,3,1,5,6,6,5
2760,grand_piano,0,5,3,4,2,3,5,4,4,3,0,4,2,2,2,0,4,3,3,1,2,2,2,5,2,0,4,1,7,4,1,2,1,1,4,3,3,1,1,1,3,2,3,3,1,3,3,1,3,1,5,3,4,3,1,2,6,3,3,1,0,3,1,3,1,1,3,2,4,2,3,3,2,3,1,1,4,4,2,1
2761,ketch,0,2,0,0,1,3,2,4,1,1,4,2,0,4,2,0,1,0,0,0,2,0,2,1,2,4,0,0,2,2,5,0,0,1,1,0,1,1,3,2,2,0,4,0,2,4,0,2,1,1,3,1,0,2,1,2,1,1,3,4,3,6,3,0,2,2,7,3,2,2,2,6,2,3,4,1,4,5,4,5
2762,bonsai,5,2,4,3,2,1,1,4,3,2,3,1,3,4,2,3,2,6,3,1,3,2,6,6,5,3,3,7,5,5,4,3,5,4,6,3,3,5,7,6,2,3,6,5,6,4,3,6,4,5,3,2,6,6,5,2,4,4,6,6,2,5,4,3,2,0,3,3,2,1,2,2,3,4,2,1,3,2,5,3
2763,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,1,1,0,5,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2764,umbrella,0,0,2,0,0,1,1,2,1,2,1,1,0,6,1,2,0,0,1,1,0,0,3,0,1,3,1,6,0,6,2,1,2,5,6,0,0,0,3,2,1,0,0,4,3,1,1,3,4,2,4,1,2,3,2,0,0,0,0,1,1,1,4,6,5,1,0,2,1,3,4,1,3,2,3,0,0,0,0,0
2765,accordion,0,0,4,1,7,1,1,3,6,7,1,1,0,7,6,0,0,1,0,4,4,1,7,5,7,0,1,5,7,7,1,1,1,7,7,1,1,1,5,7,1,0,6,1,7,3,1,5,7,7,3,1,2,7,7,1,0,1,6,7,0,0,1,6,4,1,0,6,2,7,3,1,7,4,7,1,0,7,6,3
2766,dolphin,1,4,5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,3,0,5,4,0,1,1,4,2,6,3,0,0,0,0,0,2,5,4,3,4,0,5,2,2,3,0,6,2,3,1,0,3,0,5,4,3,4,2,6,6,1,6,6,4,4,1,6,6,4,2,0,7,6,4,2
2767,hedgehog,2,3,5,6,6,1,4,6,7,6,1,3,4,7,7,2,4,4,7,6,4,2,6,5,6,2,4,5,7,5,2,2,4,6,7,3,3,5,6,6,2,3,4,5,7,3,3,3,6,6,2,3,5,6,7,2,2,6,5,7,3,2,2,3,7,3,3,4,6,6,1,5,5,5,6,2,2,4,5,7
2768,crayfish,1,2,2,1,4,1,1,2,4,4,3,2,4,5,4,2,2,6,3,4,2,5,4,5,4,1,4,4,7,5,3,4,5,4,5,1,5,4,5,6,1,4,7,6,6,2,3,5,6,4,1,5,6,6,4,1,3,5,5,5,2,5,6,3,3,2,4,5,6,5,1,5,6,6,5,2,3,6,5,6
2769,kangaroo,3,2,6,6,7,5,2,5,4,5,2,2,5,6,6,4,3,5,6,5,3,2,4,7,5,5,1,5,7,4,2,2,5,7,5,5,2,4,4,5,2,4,6,6,5,3,3,6,5,6,4,3,5,6,6,1,6,4,4,5,2,4,5,6,5,4,3,5,5,7,3,2,6,6,6,2,2,5,4,7
2770,mayfly,0,0,0,2,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,7,2,0,2,3,1,2,0,0,0,0,1,0,5,4,2,3,0,5,6,6,2,1,2,4,4,3,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,2,0,0,5,2,0,0,0,0,0
2771,Faces,6,1,2,0,0,3,1,7,4,3,3,3,5,7,3,0,2,0,0,0,5,0,0,0,0,5,3,4,5,5,6,2,4,5,3,0,0,1,0,2,3,1,1,1,0,6,2,5,6,3,6,2,6,4,2,3,0,3,2,4,2,1,2,0,2,4,2,4,6,4,4,2,4,7,4,3,1,6,1,6
2772,BACKGROUND_Google,5,2,1,0,1,6,4,2,2,2,6,2,2,0,3,4,0,0,1,2,5,2,0,0,1,6,2,1,3,3,5,2,2,4,3,3,2,0,0,1,2,1,2,0,2,3,1,5,3,6,3,4,2,2,5,1,1,0,2,3,0,2,0,0,2,2,2,4,4,3,2,2,5,3,3,0,0,1,1,2
2773,Faces,2,2,6,2,1,1,6,4,7,2,4,2,0,2,0,0,2,0,0,0,6,1,5,3,2,6,3,3,5,2,3,0,1,3,2,0,0,0,0,0,6,1,4,4,3,6,2,4,5,4,5,0,2,3,1,0,0,2,1,2,3,3,6,4,3,1,5,5,5,3,1,2,4,7,3,0,3,0,0,0
